Name,Type,Visible,Description,Default Value
physynth.foptUnplaceWorstFaninBatchSizeTh,integer,False,Batch size threshold for selecting the HFNs that will be impacted by foptUnplaceWorstFaninDriver,4
physynth.foptUnplaceWorstFaninDriver,boolean,False,Unplace the driver of the most critical input pin of the HFN driver,1
physynth.foptUpdateBatchSize,boolean,False,Enable update of batch size based on timing criticality (default: on),1
physynth.foptVeryHighFanoutBatchSize,integer,False,Batch size for very HFN (default: 8 (on)),8
physynth.foptVeryHighFanoutDynamicClustering,boolean,False,Allow dynamic clustering for VHFNs (default: on),1
physynth.foptVeryHighFanoutEnable,boolean,False,Enable very high fanout net optimization (default: on),1
physynth.foptVeryHighFanoutEnableLoadCritSlackTh,boolean,False,Allow load critical slack threshold for VHFNs (default: off),0
physynth.foptVeryHighFanoutEnableSupportPrePlace,boolean,False,Enable very high fanout net optimization in preplace physopt(default: on),1
physynth.foptVeryHighFanoutMaxNodesInBin,integer,False,Max nodes in bin for VHFN (default: 500),500
physynth.foptVeryHighFanoutNetCritSlackTh,float,False,Nets with timing above than this threshold are optimized irrespective their load slacks (default: 2.0),2
physynth.foptVeryHighFanoutThreshold,integer,False,Nets with FO above this threshold are optimized irrespective of their slack or their load slacks (default: 2000),2000
physynth.forcePhysNetRoutingPostRoute,boolean,False,Do physical net routing in post route mode (default: off),0
physynth.forceUndo,boolean,False,Force undo during opt (default: off),0
physynth.geomBoundaryDeltaPerc,integer,False,Set the percentage of partition boundary to consider loads in CG based geom partition Value should be >= 0 and <= 20,5
physynth.geomEnableCgPartitioning,boolean,False,Set 1 to enable CG based partitioner,0
physynth.geomMaxCgDeviation,float,False,Set max deviation allowed in CG of the bin to which a load is moved Value should be >= 1 and <= 5,1
physynth.hdNetReplicationForceCommit,boolean,False,Enables force commit (default: off),0
physynth.hdNetReplicationHoldCost,boolean,False,Enables hold cost when commit (default: on),0
physynth.hdNetReplicationImpDelta,float,False,Set delta for minimum improvement when checking for timing improvement in hdnetreplication (default: 0.001),0.001
physynth.hdNetReplicationNumNets,integer,False,Maxium number of hd interface nets to optimize (default: 250),250
physynth.hdNetReplicationSupport,boolean,False,Enable hdnetreplication placement based opt support (default: false),0
physynth.holdAllowCritLoadSetupDegradation,boolean,False,Parameter to accept hold optimization irrespective of local set-up slack degrades (default: on),1
physynth.holdAllowDesignSetupDegradedThreshPR,float,False,Specifies the threshold hold fix can degrade the design setup slack in post-route down to (in ns) (default: -20000ns),-20000
physynth.holdAllowLocalSetupDegradation,boolean,False,Parameter to accept hold optimization irrespective of local set-up slack degrades (default: on),1
physynth.holdAvoidSetupCritLoads,boolean,False,Avoid set-up and hold critical loads from hold optimization (default: off),0
physynth.holdCheckWnsSum,boolean,False,Print identified candidates with slack values to a local file (default: on),1
physynth.holdEnableBufInsert,boolean,False,Enable IO path buffer insertion (default: on),1
physynth.holdEnableBufInsertMulti,boolean,False,Enable multiple buffers when doing IO path buffer insertion (default: on),1
physynth.holdEnableInputDelayDefClk,boolean,False,Set to enable input clock paths (default: off),0
physynth.holdEnableZcalibrate,boolean,False,Enable Zhold calibration (default: on),1
physynth.holdEnableZinsert,boolean,False,Enable Zhold insertion (default: on),1
physynth.holdfixAllowFlopNonDBufInsert,boolean,False,Allow non-IO buffers to fan to flop.<non-D> pins (default: off),0
physynth.holdfixBatchMode,boolean,False,Enables batch mode processing of nets (default: off),1
physynth.holdfixBatchModeNetGrouping,boolean,False,Enables hold fix candidate net grouping (default: off),1
physynth.holdfixBatchModePR,boolean,False,Enables postroute batch mode processing of nets (default: off),0
physynth.holdfixBufferDelayEstimate,integer,False,Estimated buffer delay to use for numBuffer calculation (in ps) (default: 800),800
physynth.holdfixBufferInsertHoldPlacement,boolean,False,Buffer Insertion includes hold delay based Placement (default: on),1
physynth.holdfixEnableNonIOBufInsert,boolean,False,Allow insertion of buffers on non-IO path (default: on),1
physynth.holdfixForceCommit,boolean,False,Commit netlist change without checking for timing improvement (default: off),0
physynth.holdfixForceCommitMaxBuffers,integer,False,Insert MaxBuffers on ForceCommit (default: 3),3
physynth.holdfixForceTimingOnZCalib,boolean,False,Update timing before zcalibration - to chk/workaround timing issue (default: off),0
physynth.holdfixIgnoreIOBDelay,boolean,False,Can ignore user IOBDELAY when inserting ZHOLD (default: off),0
physynth.holdfixNumNetsInBatchMode,integer,False,Number of hold violating nets to process in one iteration (default: 10),10
physynth.holdfixPlaceInfoCreation,boolean,False,Enables creation of PlaceInfo (default: off),0
physynth.holdHighHoldThresh,integer,False,Specifies high hold threshold (in ps) (default: 250),250
physynth.holdHighHoldThreshPR,integer,False,Specifies hold threshold (in ps) in post-route (default: 0),0
physynth.holdIntegrateNegEdge,boolean,False,Consider LUT1 delay for LUT1 insertion (default: off),0
physynth.holdIntegrateNegEdgeClkPeriodPerc,integer,False,"Trigger neg edge FF insertion (integrate negEdgeFF mode), when slack is > given percentage of clk period (default: 50)",50
physynth.holdNumNetLimit,integer,False,Specifies number of nets to be optimized (default: 1000) Value should be >= 1 and <= 100000,1000
physynth.holdOnlyIdentifyCandidates,boolean,False,Print identified candidates with slack values to a local file (default: off),0
physynth.holdPostOptimizeTclCmd,string,False,After hold initialization and before starting optimize run tcl cmd (default empty string),None
physynth.holdPreOptimizeTclCmd,string,False,After hold initialization and before starting optimize run tcl cmd (default empty string),None
physynth.holdPrintIdentifyCandidates,boolean,False,Print identified candidates with slack values to a local file (default: off),0
physynth.holdProtectSetupThreshold,float,False,Specifies the threshold hold fix can not degrade the setup slack to (in ns) (default: 0.1),0.1
physynth.holdSkipBasedOnInitialWHS,boolean,False,Skip hold-fix if initial WHS does not violate threshold (default: off),0
physynth.holdSkipHighRuntimeNets,boolean,False,Skip nets that potentially consume high runtime (default: off),0
physynth.holdThreshZholdIff,integer,False,Specifies hold threshold for zhold.dlyiff calibration (in ps) (default: 0),0
physynth.holdUpdateBefCostIncr,boolean,False,Incrementally update before cost for LUT1 insertion (default: on),1
physynth.incrCompileRebuildShapeDB,boolean,False,Rebuild shapeDB at the end in incr-compile replay (default: on),1
physynth.incrPlaceNetlist,boolean,False,Update placeNetlist incrementally during Physical Synthesis (default: on),1
physynth.incrUpdateClockTree,boolean,False,Incrmental update clock gap tree (default: on),1
physynth.incrUpdateClockTreeForHDFlow,boolean,False,Allow incr update clock gap tree in HD flow (default: on),1
physynth.incrUpdateRoutingNodeTable,boolean,False,Update routing node table incrementally,1
physynth.incrUpdateRoutingNodeTableDebug,boolean,False,Enable debugging of incremental update of routing node table,0
physynth.instanceLockPinCheck,boolean,False,instance (vs pin) check for LOCKPIN (default: on),1
physynth.interLoopCntPR,integer,False,iteration loop for PR (default: 1),1
physynth.invalidateClkPin,boolean,False,invalidate clock pin timing for Olympus in post-placement (default: off),0
physynth.iPhysOptdumpVerilog,boolean,False,Write out verilog before and after applying iPhysOpt.tcl script (default: off),0
physynth.iPhysOptRecordSuccReplay,boolean,False,Record successful replay during replay in incr-compile flow (default: on),1
physynth.lagunaHoldFixBatchMode,boolean,False,Batch mode for laguna hold fix (default: on),1
physynth.lagunaHoldFixBatchSize,integer,False,Number of nets in each batch (default: 6),6
physynth.lagunaholdfixDebugLog,boolean,False,Debug log for laguna hold fix (default: off),0
physynth.lagunaHoldFixExcludeSites,boolean,False,Exclude slice sites that share the same clock leaf as laguna sites for moved flops (default: on),1
physynth.lagunaholdfixForceCommit,boolean,False,Enables force commit (default: on),1
physynth.lagunaholdfixHoldCost,boolean,False,Enables hold cost when commit (default: on),1
physynth.lagunaholdfixHoldThres,float,False,Accept optimization only if final hold slack for net is above this value (default: 0 ns),0
physynth.lagunaholdfixImpDelta,float,False,Set delta for minimum improvement when checking for timing improvement in lagunaholdfix (default: 0.001),0.001
physynth.lagunaholdfixNumNets,integer,False,Maxium number of nets to work on (default: 100),100
physynth.lagunaholdfixNumNetsPSIR,integer,False,Maxium number of nets to work on in PSIR (default: 30),30
physynth.lagunaholdfixPSIR,boolean,False,Enable lagunaholdfix in PSIR (default: true),1
physynth.lagunaholdfixReportSlrStatsAll,boolean,False,Report slack values for all inter-slr nets in the design (default: off),0
physynth.lagunaholdfixReportSlrStatsOnly,boolean,False,"Only report inter-SLR net statistics, skip real optimization (default: off)",0
physynth.lagunaholdfixSupport,boolean,False,Enable lagunaholdfix for post-place PS (default: false),0
physynth.lagunaholdfixSupportPostRoute,boolean,False,Enable lagunaholdfix for post-route PS (default: false),0
physynth.lagunaholdfixVioSlackThres,float,False,Consider nets with slack below this value to optimize (default: 0.1 ns),0.1
physynth.legalizerCheckRouteBlockage,integer,False,Check routing blockage during legalization,2
physynth.legalizerFFMaxSliceInput,integer,False,Max slice input for legalizer to conside a site for FF,0
physynth.legalizerMaxSliceInput,integer,False,Max slice input for legalizer to conside a site,0
physynth.legalizerMaxSlicesToConsider,integer,False,How many Slices to consider after finding a valid location,-1
physynth.legalizerMinSites,integer,False,min number of sites to search for legalizing (default 8),8
physynth.legalizerSlackEstMT,boolean,False,Do MT slack estimation,1
physynth.legalizerSlackEstMTdebug,integer,False,Debug MT slack estimation,0
physynth.legalizerSlackEstMTinSetup,boolean,False,Do MT slack estimation in setup,1
physynth.legalizerSlackEstMTinWorkLoop,boolean,False,Do MT slack estimation in work loop,1
physynth.legalizerSlackEstMTnumThreads,integer,False,# threads (-1 = auto),-1
physynth.legalizerTimingEffort,integer,False,Decides the timing effort of placement legalizer (default: 2) Value should be >= 1 and <= 3,2
physynth.level2Replication,boolean,False,enable level 2 replication (default: off),0
physynth.lightPhysOptAtEndOfPlacerAftPCOpt,boolean,False,Light PhysOpt at the end of placer after PCOpt (default: off),0
physynth.lightPhysOptAtEndOfPlacer,boolean,False,Light PhysOpt at the end of placer before PCOpt (default: off),0
physynth.ltTimerCopyConstr,boolean,False,In lite timer copy constraints (default: on),1
physynth.LUTDecompHFOLimit,integer,False,Set the net fanout limit to be considered hfo net,20
physynth.LUTDecompHFOPin,integer,False,Set the hfo net pin count,3
physynth.LUTDecompLimit,integer,False,Set the max number of LUTs to be deomposed,100000
physynth.LUTDecompMaxPerBin,integer,False,Set the max number of LUTs to be deomposed per bin,2
physynth.LUTDecompSlackThreshold,float,False,The slack threshold for LUT6 to decomposs in ns,0
physynth.LUTDecompUpperCong,float,False,The upper congestion limit to count instance,2
physynth.LUTtoLUT1collapse,boolean,False,Enable LUT to LUT1 collapsing (default: false),0
physynth.maxRetimingCount,integer,False,Specify the maxium number of drivers optimized by retiming. (default: 500),500
physynth.maxRetimingCountOnePass,integer,False,Specify the maxium number of drivers optimized by retiming in one pass. (default: 100),100
physynth.maxRetimingDriverFailCount,integer,False,Specify the maxium number of failures on one driver. (default: 1),1
physynth.maxRetimingIterations,integer,False,Specify the maxium number of retiming iterations. (default: 10) Value should be >= 1 and <= 50,10
physynth.memWatchDeltaFromPeak,float,False,Delta from Peak,0
physynth.memWatchDeltaFromPrev,float,False,Delta from Prev,0
physynth.memWatchDeltaFromRef,float,False,Delta from Ref,0
physynth.memWatchThreshold,float,False,Max mem threshold,0
physynth.mlPredictMoves,boolean,False,Predict moves using ML,0
physynth.mlPredictNetFile,string,False,Predict moves using ML net file,None
physynth.mlPredictOptsToRun,boolean,False,Predict opts to run using ML,0
physynth.mlRecordMoves,boolean,False,Record moves for ML,0
physynth.mlShouldOptThresh,float,False,"Activation threshold for deciding if we should opt [-1.0, 1.0]",-0.2
physynth.movePipelineHead,boolean,False,"In autopipeline, move head of chain in simple placement",0
physynth.movePipelineTail,boolean,False,"In autopipeline, move tail of chain in simple placement",0
physynth.mtEndShapeRebuild,boolean,False,Multi-threaded final shape rebuild,1
physynth.mtInit,boolean,False,Multi-threaded init,1
physynth.mtInitNumThreads,integer,False,Multi-threaded init # threads (-1 = auto),-1
physynth.mtInitReverseInitOrder,boolean,False,"Force reverse order of Timer/Placer init, for testing repeatability",0
physynth.multiClkNumEndPerGroup,integer,False,Number of endpoints per clock group (default: 5),5
physynth.multiClkNumNetLimitFactor,integer,False,Factor determing the num net limit value for multiple clocks (default: 10%),10
physynth.multiClkNumPathPerEnd,integer,False,Number of paths per end point (default: 1),1
physynth.multiClkNumRecursion,integer,False,Number of recursions for multiple clocks (default: 1),1
physynth.multiClkSupport,boolean,False,Enables support for multiple clocks (default: off),0
physynth.multiClkSupportFanout,boolean,False,Enables fopt support for multiple clocks (default: on),1
physynth.multiClkSupportReplace,boolean,False,Enables replace support for multiple clocks (default: on),0
physynth.multiClkSupportRepl,boolean,False,Enables replication support for multiple clocks (default: on),1
physynth.multiClkSupportRewire,boolean,False,Enables rewire support for multiple clocks (default: on),0
physynth.multiInstLegalizeSeq,boolean,False,Legalize multi instance sequentially (default: on),1
physynth.multiPathGroupCostUseClkPeriod,boolean,False,Use clock period in the cost of multi-path group WNS (default: on),1
physynth.multiPathGroupWnsMargin,float,False,Multi-path group WNS check margin (default: 0.00002),2e-05
physynth.multiReplaceDistanceDiff,integer,False,Distance different to include in load move (default: 10000),10000
physynth.multiReplaceNumNetLimit,integer,False,Specifies number of nets to be optimized (default: 100) Value should be >= 1 and <= 10000,100
physynth.multiReplaceSlackDiff,integer,False,Slack different to include in load move (default: 500ps),500
physynth.multiReplaceSupport,boolean,False,Enables multiReplace optimization (default: off),0
physynth.negativeEdgeFF.allowSynchronousCDC,boolean,False,Allow inserting FF inito syncronous clo kdomain crossing,1
physynth.negativeEdgeFF.enableMultiLevelpaths,boolean,False,Allow optimization of multi-level paths,0
physynth.negativeEdgeFF.forceCommit,boolean,False,Commit netlist change without checking for timing improvement (default: off),0
physynth.negativeEdgeFF.forceCommitMaxFFs,integer,False,Max number of FFs inserted (default: 3),3
physynth.negativeEdgeFF.holdProtectSetupThreshold,integer,False,Specifies the threshold hold fix can not degrade the setup slack to (in ps) (default: 0),0
physynth.negativeEdgeFF.holdThreshold2,integer,False,High hold threshold for special blocks and SLR crossings in negative edge triggered FF insertion,300
physynth.negativeEdgeFF.holdThreshold,integer,False,High hold threshold for negative edge triggered FF insertion,300
physynth.negativeEdgeFF.numFFsPerIteration,integer,False,Number of FFs inserted per iteration for negative edge triggered FF insertion,10000
physynth.negativeEdgeFF.numIterations,integer,False,Number of iterations for negative edge triggered FF insertion,1
physynth.negativeEdgeFF.numNetLimit,integer,False,Specifies number of nets to be optimized (default: 100),100
physynth.negativeEdgeFF.setupMargin,integer,False,Don't worsen setup slack below this threshold in ps,300
physynth.negativeEdgeFF.spiralSearch,boolean,False,Do spiral search for detail placement,1
physynth.negativeEdgeFF.traverseNetsSpeedup,boolean,False,Speed up netlist transformations,1
physynth.negativeEdgeFFVerbose,integer,False,Verbose level for negative edge FF insertion,1
physynth.netIntFlowRecursiveCnt,integer,False,net level interleaved flow iteration count (default: 4) Value should be >= 1 and <= 10,4
physynth.netLengthThreshold,integer,False,Net length limit to work on (default: -1),-1
physynth.newLagunaFFRuleChecker,boolean,False,During legalizing check the Laguna FF placement rule using new method (defualt: on),1
physynth.noError4UndoTiming,boolean,False,Disable the internal error of undo not restoring timing (default: false),0
physynth.numEPInPathGroupPostPlace,integer,False,number of endpoints to work on in one path group in post-place PhysOpt,1
physynth.numEPInPathGroupPostRoute,integer,False,number of endpoints to work on in one path group in post-route PhysOpt,1
physynth.numPathEndPerVertex,integer,False,Num of pathend per vertex (default: 1),1
physynth.numVertexPerPathGroup,integer,False,Num of vertices per PG (default: 10),30
physynth.offloadForceOptPostRoute,boolean,False,Force the offload in post route mode (default: off),0
physynth.onrouteForceCommit,boolean,False,Enables force commit (default: off),0
physynth.onrouteHoldCost,boolean,False,Enables hold cost when commit (default: on),1
physynth.onrouteImpDelta,float,False,Set delta for minimum improvement when checking for timing improvement in Onroute (default: 0.001),0.001
physynth.onrouteNewInterleavedFlow,boolean,False,Use Slack based pin swap (default: on),1
physynth.onrouteReportSlrStatsAll,boolean,False,Report slack values for all inter-slr nets in the design (default: off),0
physynth.onrouteReportSlrStatsOnly,boolean,False,"Only report inter-SLR net statistics, skip real optimization (default: off)",0
physynth.optAllowRoutedNets,boolean,False,Allows routed nets (default: off),0
physynth.optAllowUnplacedInsts,boolean,False,Allows unplaces instances (default: off),0
physynth.optBuildPlacerDataAtStart,boolean,False,Runs incr. placer at the start of phys_opt_design (default: on),1
physynth.optCheckDesignWns,boolean,False,Check improvement in design wns before commit/undo (default: on),1
physynth.optFullDelayCalcAtStart,boolean,False,Enables full delay calc at the start of optimization (default: on),0
physynth.optimizeAllVioPaths,boolean,False,Perform optimization on all violating paths (default: off),0
physynth.optimizeCritPathAsWhole,boolean,False,treat critical path as whole in path-based opt flow,0
physynth.optimLocModeInLegalizer,string,False,"Can set to NONE, Timing, or PathSlack (default: Timing)",PathSlack
physynth.optIntctTileCoord,boolean,False,Enables use of interconnect tile coordinates to do partitioning in fanout optimization (default: off),0
physynth.optIntFlowFoptNumRecursion,integer,False,Specifies the number of recursive fanout optimizations to be done (default: 1) Value should be >= 1 and <= 10,1
physynth.optIntFlowReplNumNetLimit,integer,False,Specifies number of nets to be optimized (default: 30) Value should be >= 1 and <= 10000,30
physynth.optIntFlowRewireNumRecursion,integer,False,Specifies number of recursive rewire optimizations to be done (default: 1) Value should be >= 0 and <= 100,1
physynth.optLogPrintEachTry,boolean,False,Print details for each try. Could be verbose,0
physynth.optLogPrintSummary,boolean,False,Print summary for each task/phase,1
physynth.optMultiPathGroups,integer,False,Optimize multiple path groups.,2
physynth.optNetLimitAdjustRatio,float,False,"Specifies the optimization net limit increase rate per 100K instances, for example, 0.1 mean increase limit by 10% for each 100K instances. (default: 0)",0
physynth.optNetLimitFactorLimitMax,float,False,Specifies the maxium ratio for design size based net limit scaling,2
physynth.optNetLimitFactorLimitMin,float,False,Specifies the minimum ratio for design size based net limit scaling,0.8
physynth.optSupportRoutedDesign,boolean,False,Enables support of PS in the presence of routed nets. PS will treat routed pins and their placement sites as dont_touch (default: on),1
physynth.optViolatingSlackThreshold,float,False,Slack values below this are considered violating slacks (default: 0.25 ns),0.25
physynth.originalLocAddMaxFanout,integer,False,Only add Original Loc for nets with max fanout (default : 2001),2001
physynth.ownRoutedSiteCache,boolean,False,Phys opt keeps routed site cache up to date and supply it to delay mediator etc (default: on),1
physynth.packUnpackFDSE,boolean,False,Enable pack/unpack FDSE in BRAM register opt (default: on),1
physynth.packUnpackSkipMarkedCell,boolean,False,Skip pack/unpack on marked instance with specific port (default: on),1
physynth.pathGroupOptDefaultWeight,integer,False,weight of path groups during costing (default: 2),2
physynth.pathGroupOuterLoopLimit,integer,False,max number of outer loops in path group based flow (default: 5),5
physynth.PathLenReductionSupportPostPlace,boolean,False,Enable path length reduction for postplace PhysOpt,0
physynth.PathLenReductionSupportPostRoute,boolean,False,Enable path length reduction for postroute,1
physynth.pathOptDebugGroup,string,False,Specifies the full name of the path group for debugging.(default: empty string),None
physynth.pathOptDebugNet,string,False,Specifies the full name of the net for debugging.(default: empty string),None
physynth.pathOptNumLoops,integer,False,Number of outer iterations path based optimization does (default: 2),2
physynth.persistentCloneTC,boolean,False,"when cloning, assure SDC timing exceptions associated w/ loads remain persistent (default: on)",1
physynth.pinSwapConstraintSupport,boolean,False,constraint support in pin swapping (default: on),1
physynth.pinSwapDebug,integer,False,dbg level for pin swap (default: 0),0
physynth.pinSwapFeasibilityMsgs,boolean,False,Net feasibility related messages (default: off),0
physynth.pinSwapForceCommit,boolean,False,Commit netlist change without checking for timing improvement (default: off),0
physynth.pinSwapHoldCost,boolean,False,Hold cost when commit (default: on),1
physynth.pinSwapImpDelta,float,False,Set delta for minimum improvement when checking for timing improvement in pinSwap (default: 0.001),0.001
physynth.pinSwapImpDeltaSlackWNS,float,False,Set delta for minimum improvement when checking for timing improvement in slack based pinSwap (default: 0.001),0.001
physynth.pinSwapInMainLoop,boolean,False,"Enable pin swap in the first main loop of path based opt, (default: false)",0
physynth.pinSwapLutnm,boolean,False,Enable pin swap with LUTNM pairs placed together (default: true),1
physynth.pinSwapMinPeriodBasedMarginVal,float,False,Minimum period based margin to use (default: 0.0 ns),0
physynth.pinSwapNewInterleavedFlow,boolean,False,Use Slack based pin swap (default: on),1
physynth.pinSwapNumNetLimit,integer,False,Specifies number of nets to be optimized (default: 100) Value should be >= 1 and <= 10000,100
physynth.pinSwapOptSupport,boolean,False,Enables pin swap optimization (default: on),1
physynth.pinSwapOptSupportPostRoute,boolean,False,Enables pin swap optimization in post-route (default: on),1
physynth.pinSwapPeriodBasedMarginPct,float,False,Specifies period based margin (default: 3 (%)),3
physynth.pinSwapSlackWNS,boolean,False,Slack based pin swap must improve WNS(default: on),1
physynth.pinSwapUseSlackMethod,boolean,False,Use Slack based pin swap (default: off),0
physynth.pipelineAssertVerifFailure,boolean,False,Throw assert if verification fails,0
physynth.pipelineCutName,string,False,Custom prefix string for pipeline registers (default empty string,None
physynth.pipelineDebug,integer,False,Show debug stuff,0
physynth.pipelineDumpDeviceFmaxOnly,boolean,False,Just dump device fmax and exit,0
physynth.pipelineDumpSCC,boolean,False,Dump SCCs to JSON file,0
physynth.pipelineFullGraph,boolean,False,Use full graph flow,1
physynth.pipelineIgnoreVerifFailures,boolean,False,No description available,0
physynth.pipelineInsertCheckOverUtil,boolean,False,Check util and prevent overutil solution,1
physynth.pipelineInsertCheckRoutability,boolean,False,Check Rent param and prevent overcongested solution,0
physynth.pipelineInsertMaxCuts,integer,False,Max cuts to make,-1
physynth.pipelineInsertOneCutAtATime,boolean,False,Insert registers one cut at a time; re-evaluate after each cut,1
physynth.pipelineNumCritPathsToCut,integer,False,No description available,-1
physynth.pipelineSCCMinDepthForAnalysis,integer,False,Min hierarchy depth to consider in SCC analysis,-1
physynth.pipelineShowOldTables,boolean,False,"Show old tables, in addition to Ron's new tables",0
physynth.pipelineSplitVHFN,boolean,False,force split vhfn > 50000,0
physynth.pipelineUseBoostSCCAlgo,boolean,False,Use boost's Tarjan SCC algorithm (warning: has bugs),0
physynth.pipelineUseOldRecursiveSCCAlgo,boolean,False,Use old Tarjan's recursive algorithm,0
physynth.pipelineVerifyLatency,boolean,False,Verify latency after each cut,1
physynth.pipelineVerifyLatencySaveStack,boolean,False,save the stack for debugging,0
physynth.placeAllUnplacedInstsInDesign,boolean,False,Enables the placement of all unplaced instances in the design. The default behavior is to place only those instances that were impacted by physical synthesis (default: off),0
physynth.placeGetAllShapesIfNoPlaceNetlist,boolean,False,Enables checking the placement of all shapes if the placer netlist has not been created (default: off),0
physynth.placerNetlistDbgFile,string,False,Debug file name for dumping placer netlist (default: empty string),None
physynth.PLRCriticalRange,integer,False,Critical range for selecting non-critical pins(in ps),400
physynth.PLREnable3Luts,boolean,False,Enable partial push during optimization,1
physynth.PLREnableFastPlace,boolean,False,Enable fast place during optimization,0
physynth.PLREnablePartialPush,boolean,False,Enable partial push during optimization,0
physynth.PLREnablePullPins,boolean,False,Enable pulling pins during optimization,1
physynth.PLRForceCommit,boolean,False,Force commit the change (default: off),0
physynth.PLRLocPreserveMode,integer,False,Set the mode to preserve the cell location and pin mapping,3
physynth.PLRMaxSharedPins,integer,False,Set the max number of shared pins in non-disjoint decompostion,2
physynth.PLRPreserveDriverNet,integer,False,Set the mode to preserve the output net of the driver,1
physynth.PLRPreserveOutNet,integer,False,Set the mode to preserve the output net routing,1
physynth.PLRPullPinCriticalRange,integer,False,Critical range for selecting non-critical pins(in ps),600
physynth.PLRUnPlaceLutNM,integer,False,Unplace LUTNM cell to preserve load cell location,0
physynth.postBUFGTclCmd,string,False,Post BUFG insertion tcl cmd (default: empty string),None
physynth.postClockUpdateTclCmd,string,False,Post incrmental clock tree update run tcl cmd (default empty string),None
physynth.postCommitTclCmd,string,False,Post Commit run tcl cmd (default: empty string),None
physynth.postInitTclCmd,string,False,After initialization run tcl cmd (default empty string),None
physynth.postPhaseTclCmd,string,False,Post each opto phase run tcl cmd (default: empty string),None
physynth.postPlaceRunPathOptFirst,boolean,False,Run path based opt first,0
physynth.postPlaceSkipRebuildShape,boolean,False,Skip rebuild shape after postplace phys_opt,0
physynth.postPSFPTclCmd,string,False,Post PSFP tcl command,None
physynth.postPSFPWriteXdef,string,False,write out XDEF after PSIP,None
physynth.postPSHMWriteXdef,string,False,write out XDEF after PSIP,None
physynth.postPSIPTclCmd,string,False,Post PSIP tcl command,None
physynth.postPSIPWriteXdef,string,False,write out XDEF after PSIP,None
physynth.postPSIRTclCmd,string,False,Post PSIP tcl command,None
physynth.postRouteDontTouchPartiallyRoutedNets,boolean,False,Do not touch partially routed nets in post-route mode (default: on),1
physynth.postRouteFinalizerTclCmd,string,False,Post route finalizer run tcl cmd (default: empty string),None
physynth.postRouteIndexToRefreshMem,integer,False,Specify when to refresh router netlist to save memory. (default: 300),300
physynth.postRouteMaxNumChanges,integer,False,Specify maxium number of changes post-route physical synthesis can perform. (default: 300),300
physynth.postRouteMinRoutedNetPerc,float,False,Min routed net ratio to turn on post route mode (default: 0.9),0.9
physynth.postRouteSkipRebuildShape,boolean,False,Skip rebuild shape after postroute phys_opt,1
physynth.postRouteStopIndex,integer,False,write debug checkpoint for incr route,-1
physynth.postRouteSupportHDFlow,boolean,False,Support HD flow in post-route phys_opt (default: on),1
physynth.postRouteTclCmd,string,False,Post route run tcl cmd (default: empty string),None
physynth.postRouteTimeLimit,float,False,Time limit of post route optimization in Wall seconds (default: 36000.0),36000
physynth.postUndoTclCmd,string,False,Post Undo run tcl cmd (default: empty string),None
physynth.prePlaceMaxPlacedInstPerc,float,False,Max placed inst ratio to turn on pre place mode (default: 0.2),0.2
physynth.prePSFPTclCmd,string,False,Pre PSFP tcl command,None
physynth.prePSFPWriteXdef,string,False,write out XDEF before PSIP,None
physynth.prePSHMWriteXdef,string,False,write out XDEF before PSIP,None
physynth.prePSIPTclCmd,string,False,Pre PSIP tcl command,None
physynth.prePSIPWriteXdef,string,False,write out XDEF before PSIP,None
physynth.prePSIRFinalizerTclCmd,string,False,Pre PSIP Finalizer tcl command,None
physynth.prePSIRTclCmd,string,False,Pre PSIP tcl command,None
physynth.preRouteFinalizerTclCmd,string,False,Pre route finalizer run tcl cmd (default: empty string),None
physynth.preRouteTclCmd,string,False,Pre route run tcl cmd (default: empty string),None
physynth.preUndoTclCmd,string,False,Pre Undo run tcl cmd (default: empty string),None
physynth.propagateOneTransitionOnly,boolean,False,Limits the timer propagation to only rising transitions (default: true),1
physynth.propagateOneTransitionOnlyV8,boolean,False,Limits the timer propagation to only rising transitions for V8 (default: true),0
physynth.psbfCreateLUTNMClone,boolean,False,"In PSBF, create separate clone for lutnm clone (default: on)",1
physynth.psbfCtrlLoadsMediumLoadSizeThresh,integer,False,"In PSBF, the maximum number of control loads beyond which the control load size is considered large (default: 50000)",50000
physynth.psbfCtrlLoadsSlotCapForLargeLoadSize,integer,False,"In PSBF, the maximum number of loads each net created for control loads will have when the total control load size is greater than the value specified by physynth.psbfCtrlLoadsMediumLoadSizeThresh (default: 10000)",10000
physynth.psbfCtrlLoadsSlotCapForMediumLoadSize,integer,False,"In PSBF, the maximum number of loads each net created for control loads will have when the total control load size is less than or equal to the value specified by physynth.psbfCtrlLoadsMediumLoadSizeThresh (default: 5000)",5000
physynth.psbfFanoutThreshold,integer,False,"In PSBF, choose the net with fanout greater than threshold to work on (default: 500)",500
physynth.psbfLoadBalancing,boolean,False,"In PSBF, equally balance loads on each net (default: true)",1
physynth.psbfmultiSplitLUTNMLoads,boolean,False,"In PSBF, create multiple clones for LUTNM loads (default: off)",0
physynth.psbfRoundRobinClustering,boolean,False,"In PSBF, while clustering loads based on timing, used a round robin scheme to distribute loads amongst nets (default: on)",1
physynth.psbfSeparateCtrlSignals,boolean,False,"In PSBF, separate data loads from control set loads and treat them separately (default: true)",1
physynth.psbfSetResetCEThreshold,float,False,"In PSBF, the maximum fraction of loads of a net that can be SET/RESET/CE before net is skipped",0.7
